Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
component	noun	/kəmˈpəʊ.nənt/	1. bộ phận, thành phần 2. phần cấu thành	part, element, module	whole, entirety	component (n,adj); compose (v); composition (n); composite (adj,n)	The new printer has several upgraded components.	key component, electronic component, software component, component of
include	verb	/ɪnˈkluːd/	1. bao gồm, gồm có 2. đưa vào, tính đến	contain, incorporate, consist of	exclude, omit, leave out	include (v); inclusion (n); inclusive (adj); inclusively (adv)	The tour price includes hotel and meals.	include in, include information, price includes, including tax
place	noun/verb	/pleɪs/	1. địa điểm 2. vị trí, chỗ ngồi 3. đặt, để (v) 4. sắp xếp (v)	location, position, put, set	absence, remove	placement (n): sự bố trí replace (v): thay thế replaceable (adj): có thể thay thế	- Please take your place by the door. - She placed the files on the desk. - The meeting will take place at 10 a.m.	- in the right place - reserve a place - place an order - place emphasis on
avoid	verb	/əˈvɔɪd/	1. tránh 2. ngăn ngừa	evade, dodge, prevent	face, confront	avoidance (n): sự tránh avoidable (adj): có thể tránh unavoidable (adj): không thể tránh	- Drivers should avoid heavy traffic in the morning. - We avoided a loss by cutting costs.	- avoid doing sth - avoid conflict - avoid mistakes - avoid delays
loss	noun	/lɒs/	1. sự mất mát 2. khoản lỗ 3. tổn thất	deficit, setback	profit, gain	lose (v): mất loser (n): người thua lost (adj): bị mất	- The company reported a net loss last quarter. - Insurance reduced the financial loss after the storm.	- at a loss - make a loss - loss of revenue - prevent loss
damage	noun/verb	/ˈdæm.ɪdʒ/	1. (n) thiệt hại 2. (v) làm hỏng 3. (n) tiền bồi thường	harm, injury, impairment	repair, benefit	damaged (adj): bị hư hỏng undamaged (adj): không hư hỏng damaging (adj): gây hại	- The shipment was damaged during transit. - Water damage forced the hotel to close two rooms.	- cause damage - suffer damage - minor/serious damage - assess damage
assemble	verb	/əˈsem.bəl/	1. tập hợp 2. lắp ráp	gather, collect, build	disperse, disassemble	assembly (n): sự lắp ráp assembler (n): người lắp ráp disassembly (n): sự tháo rời	- The manager assembled the team for a briefing. - The parts are assembled on site.	- assemble a team - assemble parts - assemble equipment - fully assembled
soft	adjective	/sɒft/	1. mềm, êm 2. dịu (âm thanh/ánh sáng) 3. nhẹ nhàng (thái độ)	gentle, smooth	hard, firm	soften (v): làm mềm softly (adv): nhẹ nhàng softness (n): sự mềm	The pillow feels soft. - Please speak in a soft voice during the meeting.	soft lighting, soft voice, soft material, soft drink
surface	noun	/ˈsɜː.fɪs/	1. bề mặt 2. vẻ bề ngoài	top, exterior	interior, inside	surface (v): nổi lên surfaced (adj): được làm mới resurfacing (n): tái tạo bề mặt	Wipe the surface of the table before the clients arrive. - Oil floated on the surface of the water.	surface area, smooth surface, surface temperature, clean surface
flattened	adjective	/ˈflæt.ənd/	1. được làm phẳng 2. dẹp, xẹp	level, even	raised, uneven	flatten (v): san phẳng flat (adj): phẳng flatness (n): độ phẳng	The cartons were flattened for recycling. - The site was flattened before construction began.	flattened boxes, flattened surface, be flattened by, flattened cardboard
empty	adjective	/ˈemp.ti/	1. trống, không có gì 2. vắng vẻ	vacant, void	full, occupied	empty (v): làm trống emptiness (n): sự trống trải empty-handed (adj): tay không	The warehouse is empty after the shipment. - Please empty the trash can every evening.	empty room, empty seat, empty bottle, empty space
main	adjective	/meɪn/	1. chính, chủ yếu	primary, principal	minor, secondary	mainly (adv): chủ yếu mainstay (n): trụ cột	The main entrance is at the front of the building. - Cost is our main concern in this project.	main office, main reason, main road, main course
side	noun	/saɪd/	1. mặt, bên của một vật 2. sườn, lề 3. phe, phía trong tranh luận	flank, aspect, surface	center, middle	side (v): đứng về phe | sideways (adv): hướng bên | sideline (n): việc phụ | sided (adj): có mặt	Please place the label on the right side of the box. - The two teams are on opposite sides of the issue.	on the side of, right/left side, opposite side, take sides
